Assembly,original,corrected,RefSeq.Accession.version,GenBank.Accession.version,NCBI.name
Fundulus_heteroclitus-3.0.2,Scaffold121,Scaffold121,NW_012224522.1,KN805646.1,GPS_009135844.1
Fundulus_heteroclitus-3.0.2,Scaffold122,Scaffold122,NW_012224523.1,KN805647.1,GPS_009135845.1
Fundulus_heteroclitus-3.0.2,Scaffold123,Scaffold123,NW_012224524.1,KN805648.1,GPS_009135846.1
Fundulus_heteroclitus-3.0.2,Scaffold124,Scaffold124,NW_012224525.1,KN805649.1,GPS_009135847.1
Fundulus_heteroclitus-3.0.2,Scaffold125,Scaffold125,NW_012224526.1,KN805650.1,GPS_009135848.1
Fundulus_heteroclitus-3.0.2,Scaffold126,Scaffold126,NW_012224527.1,KN805651.1,GPS_009135849.1
Fundulus_heteroclitus-3.0.2,Scaffold127,Scaffold127,NW_012224528.1,KN805652.1,GPS_009135850.1
Fundulus_heteroclitus-3.0.2,Scaffold128,Scaffold128,NW_012224529.1,KN805653.1,GPS_009135851.1
Fundulus_heteroclitus-3.0.2,Scaffold129,Scaffold129,NW_012224530.1,KN805654.1,GPS_009135852.1
Fundulus_heteroclitus-3.0.2,Scaffold130,Scaffold130,NW_012224531.1,KN805655.1,GPS_009135853.1
Fundulus_heteroclitus-3.0.2,Scaffold131,Scaffold131,NW_012224532.1,KN805656.1,GPS_009135854.1
Fundulus_heteroclitus-3.0.2,Scaffold132,Scaffold132,NW_012224533.1,KN805657.1,GPS_009135855.1
Fundulus_heteroclitus-3.0.2,Scaffold133,Scaffold133,NW_012224534.1,KN805658.1,GPS_009135856.1
Fundulus_heteroclitus-3.0.2,Scaffold134,Scaffold134,NW_012224535.1,KN805659.1,GPS_009135857.1
Fundulus_heteroclitus-3.0.2,Scaffold135,Scaffold135,NW_012224536.1,KN805660.1,GPS_009135858.1
Fundulus_heteroclitus-3.0.2,Scaffold136,Scaffold136,NW_012224537.1,KN805661.1,GPS_009135859.1
Fundulus_heteroclitus-3.0.2,Scaffold137,Scaffold137,NW_012224538.1,KN805662.1,GPS_009135860.1
Fundulus_heteroclitus-3.0.2,Scaffold138,Scaffold138,NW_012224539.1,KN805663.1,GPS_009135861.1
Fundulus_heteroclitus-3.0.2,Scaffold139,Scaffold139,NW_012224540.1,KN805664.1,GPS_009135862.1
Fundulus_heteroclitus-3.0.2,Scaffold140,Scaffold140,NW_012224541.1,KN805665.1,GPS_009135863.1
Fundulus_heteroclitus-3.0.2,Scaffold141,Scaffold141,NW_012224542.1,KN805666.1,GPS_009135864.1
Fundulus_heteroclitus-3.0.2,Scaffold142,Scaffold142,NW_012224543.1,KN805667.1,GPS_009135865.1
Fundulus_heteroclitus-3.0.2,Scaffold143,Scaffold143,NW_012224544.1,KN805668.1,GPS_009135866.1
Fundulus_heteroclitus-3.0.2,Scaffold144,Scaffold144,NW_012224545.1,KN805669.1,GPS_009135867.1
Fundulus_heteroclitus-3.0.2,Scaffold145,Scaffold145,NW_012224546.1,KN805670.1,GPS_009135868.1
Fundulus_heteroclitus-3.0.2,Scaffold146,Scaffold146,NW_012224547.1,KN805671.1,GPS_009135869.1
Fundulus_heteroclitus-3.0.2,Scaffold147,Scaffold147,NW_012224548.1,KN805672.1,GPS_009135870.1
Fundulus_heteroclitus-3.0.2,Scaffold148,Scaffold148,NW_012224549.1,KN805673.1,GPS_009135871.1
Fundulus_heteroclitus-3.0.2,Scaffold149,Scaffold149,NW_012224550.1,KN805674.1,GPS_009135872.1
Fundulus_heteroclitus-3.0.2,Scaffold150,Scaffold150,NW_012224551.1,KN805675.1,GPS_009135873.1
Fundulus_heteroclitus-3.0.2,Scaffold151,Scaffold151,NW_012224552.1,KN805676.1,GPS_009135874.1
Fundulus_heteroclitus-3.0.2,Scaffold152,Scaffold152,NW_012224553.1,KN805677.1,GPS_009135875.1
Fundulus_heteroclitus-3.0.2,Scaffold153,Scaffold153,NW_012224554.1,KN805678.1,GPS_009135876.1
Fundulus_heteroclitus-3.0.2,Scaffold154,Scaffold154,NW_012224555.1,KN805679.1,GPS_009135877.1
Fundulus_heteroclitus-3.0.2,Scaffold155,Scaffold155,NW_012224556.1,KN805680.1,GPS_009135878.1
Fundulus_heteroclitus-3.0.2,Scaffold156,Scaffold156,NW_012224557.1,KN805681.1,GPS_009135879.1
Fundulus_heteroclitus-3.0.2,Scaffold157,Scaffold157,NW_012224558.1,KN805682.1,GPS_009135880.1
